id,created_at,updated_at,hotel_id,customer,content,score,customer_level,influence_count,travel_type,comment_time,comment_count,hotel_type
4983,2018-11-19 03:59:00.448641+00,2018-11-19 03:59:00.448641+00,437612,1***6,忽悠订房时大床房。入住时起个名字叫飞行房。房屋设施堪称如家都不如。，除了摆了一张床基本也都成过道了。有一溜窗户对着对面的墙。价格近700，坑爹的,1,level_daren,3,商务出差,2018年09月入住,23,飞行房(副楼)
5001,2018-11-19 03:59:09.831121+00,2018-11-19 03:59:09.831121+00,437612,M***5,十分不方便。只能说住宿环境很安全，除了坐飞机没有任何是方便的，因为就在机场里，整个酒店门口就是高架桥，出去不是很方便，外卖也不能点，哈哈，吐槽一下但是房间还行，整个设施什么的都是五星的，只是个人不喜欢以后不会再住。,1,level_daren,0,情侣出游,2018年10月入住,11,豪华房(主楼)
5039,2018-11-19 04:07:45.641891+00,2018-11-19 04:07:45.641891+00,436263,风***云,"这酒店价格高，无所谓但酒店房间很多灰尘。还有水龙头也是坏的，叫吧台换房间，吧台的人很没有礼貌的没有回答，房间没有像携程说的4.6分。房间里又没有信号连4G都上不了，被子一拍还有很多灰尘飘出来我也真的醉了。
我从来没有给过这么差评的酒店。
#卫生差#",1,level_daren,5,家庭亲子,2018年08月入住,14,豪华房
5066,2018-11-19 04:08:52.359544+00,2018-11-19 04:08:52.359544+00,436263,1***6,设施成旧，服务太差，号称五星却未有五星该有的服务及品质，该酒店或许也就因为离机场较近，其它一点优势都没,2,level_master,4,商务出差,2018年06月入住,41,豪华房
5071,2018-11-19 04:08:52.611786+00,2018-11-19 04:08:52.611786+00,436263,1***9,酒店设施老旧，酒店人员及其没有礼貌、素质低、态度差！机场接送服务人员态度也非常恶劣，根本不回答你提的问题，毫无素质！第一次入住也是最后一次,1.5,level_daren,5,独自旅行,2018年04月入住,7,行政房
5094,2018-11-19 04:09:00.91665+00,2018-11-19 04:09:00.91665+00,436263,_***1,酒店虽然是五星级 可是真的不怎么样 到楼层就有股味道 房间的床单是黄色的 让人觉得很不舒服,2.8,level_daren,2,商务出差,2018年04月入住,6,豪华房
5142,2018-11-19 04:09:33.311415+00,2018-11-19 04:09:33.311415+00,436263,1***5,服务态度很差，尤其是前台，不适合选择。,1,level_new,1,商务出差,2018年08月入住,1,豪华房
5044,2018-11-19 04:07:45.893678+00,2018-11-19 04:07:45.893678+00,436263,_***4,五星级的头衔，二星级的服务！ 订这个酒店之前、我专挑差评看，果不其然！一模一样、发现很多说接送问题。没错，接你，没办法，今天没人预约车。你自己打车吧。 这个回答是五星级酒店的服务吗 ？我也是服了。最终有接 因为刚好有一家需要接送！让我9点20分前赶去、过时不侯！这句话说出来 我就知道这个酒店的工作人员是那么的LOW。隔天飞机 ，别的低级酒店。人家固定班车送机场。他家也很奇葩 只能预约一次时间。我从办入住到去机场。他们家的服务员 挑人的。老外他们不敢怠慢。国内的 他们态度就很一般。大家定酒店 看那些差评就是他家的缺点了。我这边就是说我遇到的情况。反正无所谓 我一次就铭记于心！这样挂着5星级酒店的。也是大家贪图近一点。也就忍了！如果不是看着标五星级。就这种服务态度 谁要入住 ？,2.8,level_new,5,家庭亲子,2018年09月入住,3,豪华房
5141,2018-11-19 04:09:33.267204+00,2018-11-19 04:09:33.267204+00,436263,1***8,按摩是个黑店，进门就宰客，做其它服务，而且要加收15服务费，发现不对，我不要了，强行要了100元，真的很差,1,level_daren,10,朋友出游,2018年01月入住,10,豪华房
5046,2018-11-19 04:07:46.090802+00,2018-11-19 04:07:46.090802+00,436263,1***5,感受非常差，酒店宣传有机场免费接机，我提前打电话给酒店，告知我的航班以及所携带的行李，酒店方说到时会电话联系，我7:20到机场后打酒店电话，说现在没有车，要等到8:20的班车并告知在机场29号口接机，期间电话告知我车已出发让我等待，我等待一小时后，没有见车，打电话咨询说在27号口，说我听错了，我8:23分到27号口、还没有车，再打电话联系，说他们联系司机联系不上，我追问到底能不能接机，回答是，不能了。请问这样的服务是五星酒店的服务吗？客人等待一个小时后说不能接了，有没有责任心，没办法我自己联系了专车接送。如果酒店对这样的服务不能处理的话，我想你们也就失去了大家的信任..,2.8,level_daren,10,家庭亲子,2018年08月入住,29,豪华房
